fixture_id,date_jst,home_team,away_team,commentator,announcer,report_link
1494072,2026-01-13,Newcastle,Manchester City,,,/reports/2026-01-13_Newcastle_vs_ManchesterCity_20260207_155616.html
1498259,2026-01-14,Chelsea,Arsenal,,,/reports/2026-01-14_Chelsea_vs_Arsenal_20260115_062600.html
1498260,2026-02-03,Arsenal,Chelsea,,,/reports/2026-02-03_Arsenal_vs_Chelsea_20260204_063359.html
1494073,2026-02-04,Manchester City,Newcastle,,,/reports/2026-02-04_ManchesterCity_vs_Newcastle_20260205_063450.html
