week_key,league,rank,team_id,team_name,team_logo,points,played,won,draw,lost,goals_for,goals_against,goals_diff,form,description
2026-02-23,LALIGA,10,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,32,25,8,8,9,37,38,-1,DLWDW,
2026-02-23,LALIGA,11,536,Sevilla,https://media.api-sports.io/football/teams/536.png,29,25,8,5,12,32,39,-7,WDDLW,
2026-02-23,LALIGA,12,546,Getafe,https://media.api-sports.io/football/teams/546.png,29,25,8,5,12,20,29,-9,LWWDD,
2026-02-23,LALIGA,13,547,Girona,https://media.api-sports.io/football/teams/547.png,29,24,7,8,9,24,38,-14,WDLDW,
2026-02-23,LALIGA,14,728,Rayo Vallecano,https://media.api-sports.io/football/teams/728.png,26,24,6,8,10,22,31,-9,DWLLL,
2026-02-23,LALIGA,15,542,Alaves,https://media.api-sports.io/football/teams/542.png,26,24,7,5,12,21,30,-9,DLWWL,
2026-02-23,LALIGA,16,532,Valencia,https://media.api-sports.io/football/teams/532.png,26,25,6,8,11,26,39,-13,LWLLW,
2026-02-23,LALIGA,17,797,Elche,https://media.api-sports.io/football/teams/797.png,25,25,5,10,10,32,37,-5,LDLLL,
2026-02-23,LALIGA,18,798,Mallorca,https://media.api-sports.io/football/teams/798.png,24,25,6,6,13,29,41,-12,LLLWL,Relegation - LaLiga2
2026-02-23,LALIGA,19,539,Levante,https://media.api-sports.io/football/teams/539.png,18,25,4,6,15,26,44,-18,LLLLD,Relegation - LaLiga2
2026-02-23,LALIGA,20,718,Oviedo,https://media.api-sports.io/football/teams/718.png,17,24,3,8,13,16,39,-23,DLWLL,Relegation - LaLiga2
