player_id,name,position,number,instagram_url
287868,Max Merrick,Goalkeeper,1,
18959,Robert Sánchez,Goalkeeper,1,https://www.instagram.com/robertsanchez13/
286616,F. Jörgensen,Goalkeeper,12,https://www.instagram.com/filipjorgensen/
180940,T. Sharman-Lowe,Goalkeeper,28,
64167,G. Słonina,Goalkeeper,44,
47380,Marc Cucurella,Defender,3,https://www.instagram.com/cucurella3/
19145,T. Adarabioyo,Defender,4,https://www.instagram.com/tosinadarabioyo/
95,B. Badiashile,Defender,5,https://www.instagram.com/benobadiashile/
276184,M. Sarr,Defender,19,https://www.instagram.com/mamadousarr05/
341642,J. Hato,Defender,21,https://www.instagram.com/jorrelhato/
19720,T. Chalobah,Defender,23,https://www.instagram.com/trevohchalobah/
19545,R. James,Defender,24,https://www.instagram.com/reecejames/
161907,M. Gusto,Defender,27,https://www.instagram.com/malogusto/
22094,W. Fofana,Defender,29,https://www.instagram.com/wesley_fofana/
366735,Joshua Kofi Acheampong,Defender,34,
1864,Pedro Neto,Midfielder,7,https://www.instagram.com/pedroneto30/
5996,E. Fernández,Midfielder,8,https://www.instagram.com/enzojfernandez/
152982,C. Palmer,Midfielder,10,https://www.instagram.com/colepalmer10/
482888,R. Walsh,Midfielder,10,
308678,Dário Essugo,Midfielder,14,
394167,O. Harrison,Midfielder,14,
305834,Andrey Santos,Midfielder,17,https://www.instagram.com/andreysantos_/
116117,M. Caicedo,Midfielder,25,https://www.instagram.com/moisescaicedo55/
282125,R. Lavia,Midfielder,45,https://www.instagram.com/romeolavia/
610563,C. Holland,Midfielder,75,
161948,L. Delap,Attacker,9,https://www.instagram.com/liamdelap/
359117,Shumaira Mheuka,Attacker,9,
286894,J. Bynoe-Gittens,Attacker,11,https://www.instagram.com/jbynoegittens/
10329,João Pedro,Attacker,20,https://www.instagram.com/joaopedrooficial/
392270,Marc Guiu,Attacker,38,https://www.instagram.com/marcguiu9/
425733,Estêvão,Attacker,41,https://www.instagram.com/estevaowilian_/
284324,A. Garnacho,Attacker,49,https://www.instagram.com/garnacho7/
