player_id,name,position,number,instagram_url
344247,Luca Gunter,Goalkeeper,1,
31354,G. Vicario,Goalkeeper,1,https://www.instagram.com/guglielmovicario/
265826,A. Kinský,Goalkeeper,31,
156428,B. Austin,Goalkeeper,40,
162498,R. Drăgușin,Defender,3,https://www.instagram.com/radudragusin5/
25287,K. Danso,Defender,4,https://www.instagram.com/kevindanso/
459203,M. Hardy,Defender,5,
41104,João Palhinha,Defender,6,https://www.instagram.com/joaopalhinha6/
204039,D. Udogie,Defender,13,https://www.instagram.com/destinyudogie/
30776,C. Romero,Defender,17,https://www.instagram.com/cutiromero2/
47519,Pedro Porro,Defender,23,https://www.instagram.com/pedroporro29_/
164,B. Davies,Defender,33,https://www.instagram.com/bendavies33/
152849,M. van de Ven,Defender,37,https://www.instagram.com/mickyvandeven/
414455,Souza,Defender,38,
467839,J. Byfield,Defender,67,
557539,J. Rowswell,Defender,76,
584077,T. Hall,Midfielder,6,
310531,Rio Kyerematen,Midfielder,7,
18968,Y. Bissouma,Midfielder,8,https://www.instagram.com/yvesbissouma/
328089,A. Gray,Midfielder,14,https://www.instagram.com/archiegray/
347316,L. Bergvall,Midfielder,15,https://www.instagram.com/lucasbergvall/
15911,M. Kudus,Midfielder,20,https://www.instagram.com/kudus_mohammed/
67972,C. Gallagher,Midfielder,22,https://www.instagram.com/conorgallagher92/
19235,D. Spence,Midfielder,24,https://www.instagram.com/djedspence/
237129,P. Sarr,Midfielder,29,https://www.instagram.com/psarr_29/
863,R. Bentancur,Midfielder,30,https://www.instagram.com/rodri_bentancur/
380689,C. Olusesi,Midfielder,52,
465310,L. Williams-Barnett,Midfielder,68,
162016,X. Simons,Attacker,7,https://www.instagram.com/xavisimons/
394935,M. Melia,Attacker,9,
2413,Richarlison,Attacker,9,https://www.instagram.com/richarlison/
270510,M. Tel,Attacker,11,https://www.instagram.com/mathystel9/
557391,T. Thompson,Attacker,11,
18883,D. Solanke,Attacker,19,https://www.instagram.com/solanke/
336564,W. Odobert,Attacker,28,https://www.instagram.com/wilsonodobert/
21104,R. Kolo Muani,Attacker,39,https://www.instagram.com/randal_kolo_muani/
418942,J. Wilson,Attacker,79,
