player_id,name,position,number,instagram_url
452427,R. Oakley,Goalkeeper,13,
19599,E. Martínez,Goalkeeper,23,https://www.instagram.com/emi_martinez26/
36878,M. Bizot,Goalkeeper,40,
398004,S. Proctor,Goalkeeper,52,
284390,J. Wright,Goalkeeper,64,
19298,M. Cash,Defender,2,https://www.instagram.com/mattycash622/
889,V. Lindelöf,Defender,3,https://www.instagram.com/vlindelof/
19354,E. Konsa,Defender,4,https://www.instagram.com/ezrikonsa/
19179,T. Mings,Defender,5,https://www.instagram.com/tyronemings/
2724,L. Digne,Defender,12,https://www.instagram.com/lucasdigne/
482915,L. Routh,Defender,12,
46815,Pau Torres,Defender,14,https://www.instagram.com/pauttorres/
388013,Andrés García,Defender,16,
138816,I. Maatsen,Defender,22,https://www.instagram.com/maatsen_/
308843,T. Patterson,Defender,55,
416250,T. Carroll,Midfielder,4,
2287,R. Barkley,Midfielder,6,https://www.instagram.com/rossbarkley/
19191,J.  McGinn,Midfielder,7,https://www.instagram.com/johnmcginn7/
2926,Y. Tielemans,Midfielder,8,https://www.instagram.com/youritielemans/
453101,B. Burrows,Midfielder,9,
19035,H. Elliott,Midfielder,9,
19071,E. Buendía,Midfielder,10,https://www.instagram.com/em10buendia/
18,J. Sancho,Midfielder,19,https://www.instagram.com/sanchooo10/
47522,Douglas Luiz,Midfielder,21,https://www.instagram.com/dgoficial/
162714,A. Onana,Midfielder,24,https://www.instagram.com/its_onana/
284457,L. Bogarde,Midfielder,26,
19170,M. Rogers,Midfielder,27,
1904,B. Kamara,Midfielder,44,
364566,George Hemmings,Midfielder,53,
553420,M. Kone,Midfielder,79,
19366,O. Watkins,Attacker,11,https://www.instagram.com/olliewatkins/
19194,T. Abraham,Attacker,18,https://www.instagram.com/tammyabraham/
514519,Brian Madjo,Attacker,24,
983,L. Bailey,Attacker,31,https://www.instagram.com/leonbailey/
464004,Alysson Edward,Attacker,47,
