player_id,name,position,number,instagram_url
19465,David Raya,Goalkeeper,1,https://www.instagram.com/d.13raya/
2273,Kepa,Goalkeeper,13,https://www.instagram.com/kepaarrizabalaga/
416697,J. Porter,Goalkeeper,13,
342243,T. Setford,Goalkeeper,35,
337933,Alexei Rojas Fedorushchenko,Goalkeeper,51,
380696,Joshua Nichols,Defender,2,
22090,W. Saliba,Defender,2,https://www.instagram.com/w.saliba4/
333682,Cristhian Mosquera,Defender,3,
19959,B. White,Defender,4,https://www.instagram.com/ben6white/
127817,P. Hincapié,Defender,5,
22224,Gabriel Magalhães,Defender,6,https://www.instagram.com/gabrielmagalhaes/
38746,J. Timber,Defender,12,https://www.instagram.com/jurriantimber/
157052,R. Calafiori,Defender,33,https://www.instagram.com/richycala/
313245,M. Lewis-Skelly,Defender,49,
482903,M. Salmon,Defender,89,
553530,I. Ibrahim,Midfielder,6,
1460,B. Saka,Midfielder,7,https://www.instagram.com/bukayosaka87/
37127,M. Ødegaard,Midfielder,8,https://www.instagram.com/odegaard.98/
19586,E. Eze,Midfielder,10,https://www.instagram.com/eberechi_eze/
30407,C. Nørgaard,Midfielder,16,
1946,L. Trossard,Midfielder,19,https://www.instagram.com/leotrossard/
47311,Mikel Merino,Midfielder,23,https://www.instagram.com/mikelmerino/
47315,Martín Zubimendi,Midfielder,36,
2937,D. Rice,Midfielder,41,https://www.instagram.com/declanrice/
442044,M. Dowman,Midfielder,56,
463908,B. Bailey-Joseph,Attacker,7,
643,Gabriel Jesus,Attacker,9,https://www.instagram.com/dejesusoficial/
457731,A. Annous,Attacker,11,
127769,Gabriel Martinelli,Attacker,11,https://www.instagram.com/martinelli/
284571,C. Sagoe,Attacker,11,
18979,V. Gyökeres,Attacker,14,https://www.instagram.com/viktorgyokeres/
136723,N. Madueke,Attacker,20,https://www.instagram.com/nonzinoo10/
978,K. Havertz,Attacker,29,https://www.instagram.com/kaihavertz29/
557442,C. O'Neill,Attacker,76,
