player_id,name,position,number,instagram_url
162489,J. Trafford,Goalkeeper,1,
19012,M. Bettinelli,Goalkeeper,13,
25004,S. Ortega,Goalkeeper,18,https://www.instagram.com/stefan.ortega1/
1622,G. Donnarumma,Goalkeeper,25,
567,Rúben Dias,Defender,3,https://www.instagram.com/rubendias/
626,J. Stones,Defender,5,
18861,N. Aké,Defender,6,https://www.instagram.com/nathanake/
451583,K. Braithwaite,Defender,6,
21138,R. Aït-Nouri,Defender,21,
129033,J. Gvardiol,Defender,24,https://www.instagram.com/josko_gvardiol/
41621,Matheus Nunes,Defender,27,https://www.instagram.com/matheusnunes/
307123,N. O'Reilly,Defender,33,https://www.instagram.com/niczz10/
360114,A. Khusanov,Defender,45,
284230,R. Lewis,Defender,82,
382358,S. Mfuni,Defender,91,
36902,T. Reijnders,Midfielder,4,
347305,Jaden Heskey,Midfielder,8,
2291,M. Kovačić,Midfielder,8,https://www.instagram.com/mateokovacic8/
19130,K. Phillips,Midfielder,8,https://www.instagram.com/kalvinphillips/
156477,R. Cherki,Midfielder,10,
161933,Nico González,Midfielder,14,
44,Rodri,Midfielder,16,
636,Bernardo Silva,Midfielder,20,https://www.instagram.com/bernardocarvalhosilva/
631,Phil Foden,Midfielder,47,https://www.instagram.com/philfoden/
278133,Oscar Bobb,Midfielder,52,
389034,Charlie Gray,Midfielder,59,
380681,D. Mukasa,Midfielder,63,
81573,Omar Marmoush,Attacker,7,
1100,Erling Haaland,Attacker,9,https://www.instagram.com/erling/
1422,J. Doku,Attacker,11,https://www.instagram.com/jeremydoku/
266657,Sávio,Attacker,26,
442048,R. McAidoo,Attacker,56,
448969,Reigan Heskey,Attacker,92,
