player_id,name,position,number,instagram_url
280,Alisson Becker,Goalkeeper,1,https://www.instagram.com/alissonbecker/
415992,K. Miściur,Goalkeeper,1,
342467,Á. Pécsi,Goalkeeper,1,
24760,G. Mamardashvili,Goalkeeper,25,https://www.instagram.com/mamardashvili25/
18889,F. Woodman,Goalkeeper,28,
284,J. Gomez,Defender,2,https://www.instagram.com/joegomez5/
328081,W. Omoruyi,Defender,3,
380666,C. Pinnington,Defender,3,
290,V. van Dijk,Defender,4,https://www.instagram.com/virgilvandijk/
1145,I. Konaté,Defender,5,https://www.instagram.com/ibrahimakonate/
206254,M. Kerkez,Defender,6,https://www.instagram.com/miloskerkezofficial/
1096,D. Szoboszlai,Defender,8,https://www.instagram.com/szoboszlaidominik/
180317,C. Bradley,Defender,12,https://www.instagram.com/conorbradley03/
409047,G. Leoni,Defender,15,
289,A. Robertson,Defender,26,https://www.instagram.com/andyrobertson94/
162904,R. Williams,Defender,46,
135525,C. Ramsay,Defender,47,
8500,W. Endo,Midfielder,3,https://www.instagram.com/endowataru/
407032,A. Nallo,Midfielder,4,
203224,F. Wirtz,Midfielder,7,https://www.instagram.com/flowirtz27/
301286,Tommy Pilling,Midfielder,8,
6716,A. Mac Allister,Midfielder,10,https://www.instagram.com/alemacallister/
306,Mohamed Salah,Midfielder,11,https://www.instagram.com/mosalah/
339205,M. Laffey,Midfielder,15,
293,C. Jones,Midfielder,17,https://www.instagram.com/curtisjr_10/
247,C. Gakpo,Midfielder,18,https://www.instagram.com/codymathesgakpo/
152654,J. Frimpong,Midfielder,30,https://www.instagram.com/jeremiefrimpong/
542,R. Gravenberch,Midfielder,38,https://www.instagram.com/ryanjiro_/
397997,T. Nyoni,Midfielder,42,
389032,K. Morrison,Midfielder,68,
314661,J. Danns,Attacker,9,
344223,K. Figueroa,Attacker,9,
2864,A. Isak,Attacker,9,https://www.instagram.com/alex_isak/
340246,Trent Toure Kone Doherty,Attacker,11,
30410,F. Chiesa,Attacker,14,https://www.instagram.com/fedexchiesa/
174565,H. Ekitike,Attacker,22,https://www.instagram.com/hekitike/
286764,Kaide Gordon,Attacker,49,
452685,R. Ngumoha,Attacker,73,
